N=1,N=2,N=10,N=100
1.40127,1.10876,1.0259,1.07235
0.0708752,0.0902528,1.10759,1.03747
0.616836,0.421721,0.927478,1.20509
1.27557,0.829566,0.754288,0.862442
0.00651108,0.265935,1.08299,0.987752
0.674799,0.462625,0.780912,1.03291
1.9263,0.979458,0.610945,0.92563
0.508349,0.708256,1.04759,0.986678
1.23407,1.27039,1.34825,0.997458
2.90897,1.62676,1.55256,1.25049
1.49046,0.789337,0.890518,1.00345
1.04621,0.579862,0.723479,0.918564
0.206951,1.14428,1.02277,1.02898
0.906255,0.701302,0.981511,1.11556
1.57848,0.995423,1.34059,0.89076
1.4636,2.41383,1.2146,1.02082
2.76874,2.26952,0.968772,1.09429
0.298766,0.320071,0.918062,0.836863
1.09006,1.266,0.80129,0.944297
0.211618,1.52426,1.41396,0.956191
2.19565,1.15006,0.914021,1.00971
0.190503,0.606079,1.01057,0.885998
0.600103,0.313868,0.742303,0.954617
0.506933,0.298959,0.552898,1.00079
1.25151,1.35443,1.03042,0.990568
0.165156,1.41004,1.17696,0.864447
0.502397,0.744438,0.702454,0.874408
0.592183,0.335293,0.552637,0.810468
1.10056,1.05342,0.92521,0.898662
1.18176,0.912972,0.782378,1.11673
0.245379,0.200931,0.658536,0.793599
3.16647,1.76932,1.15543,1.10214
2.60564,2.35067,1.4442,1.13446
0.194518,0.262007,0.729436,0.89036
0.123242,0.846562,1.08018,1.00699
2.43758,1.44244,1.19554,1.0666
2.42173,1.29229,0.942265,1.05696
1.32845,0.696234,0.720086,0.796265
0.169701,1.41088,0.941021,0.979612
0.129772,0.793981,1.44741,1.11067
0.829674,0.836367,0.613665,0.827903
2.32004,1.29266,0.650528,1.20546
0.357932,0.856488,0.979981,0.937821
1.22586,1.39776,1.29972,0.909145
0.0566986,0.371906,0.821061,0.958756
1.02194,0.603875,0.654125,0.830977
1.58951,1.47717,1.17975,0.99296
0.598128,0.377855,1.18933,1.03141
2.35745,1.59311,1.1133,0.75545
1.92628,1.36133,1.4219,1.19178
0.151701,0.25597,0.559655,0.837291
0.459288,0.383709,1.03334,1.03481
4.45025,3.19663,1.46189,0.962891
4.05578,2.06542,1.12255,1.0036
0.463683,1.16289,0.897811,0.772535
0.432092,0.316441,1.22491,0.962006
0.508877,0.86379,1.54584,1.07362
1.49679,0.981574,0.642626,1.01988
2.11963,2.54379,1.36775,1.05208
0.258072,0.524425,1.46148,1.18568
1.07495,2.52298,1.41682,1.03765
1.98715,1.26301,0.860685,0.976435
0.700085,2.2567,1.06768,0.97061
0.112876,1.03032,1.13492,0.971926
0.272506,0.368207,0.660955,0.82072
0.224151,0.223658,0.714276,1.1244
0.102682,0.351722,0.702306,1.15873
0.418697,0.509566,0.679962,1.04493
2.05323,1.38774,1.42169,0.941184
0.0193343,0.0334972,0.827835,0.938497
0.40503,1.07297,0.793603,0.990972
3.69102,2.03101,1.46764,0.911956
1.01236,0.82011,1.07273,0.954914
0.433087,0.402491,1.25118,1.02997
2.72824,2.34721,0.831362,0.921735
0.00783026,0.138263,0.693661,0.945104
0.335296,0.424775,1.39018,0.917312
1.43084,1.49827,1.00764,0.985778
0.0962379,0.206474,0.674548,1.02123
0.440899,0.523233,0.640535,0.92483
1.56252,3.26678,1.61017,1.29459
0.445041,0.762207,1.26871,1.07237
0.30923,1.00331,0.996132,1.23378
1.81526,1.01697,1.33871,1.05736
0.910471,0.699714,0.912367,1.01992
1.28037,0.759206,0.728861,0.875259
0.131848,0.434715,1.10523,1.07068
0.0356606,0.206233,0.796393,1.02392
0.786351,0.516711,0.85902,0.977767
1.61469,0.940827,0.909586,0.960347
1.7025,0.970983,1.12013,1.08242
0.527082,0.595547,0.726538,1.07074
2.75462,1.8213,1.44329,1.04437
0.570125,0.472233,0.828133,0.917497
0.429923,0.23628,0.880141,0.870245
0.668074,0.367468,0.689996,0.816897
1.38167,0.966734,0.88546,1.02221
0.818722,1.40088,1.37808,0.923565
0.261938,0.227893,0.505639,1.07235
0.675961,0.408107,1.16579,0.867506
0.570195,0.379545,0.826967,1.14072
1.28023,0.75627,0.802588,1.00712
0.196218,0.308038,0.477137,1.05458
0.305555,0.927725,0.58776,0.953652
0.373312,0.321673,1.115,0.869115
6.82156,3.75054,1.33979,1.09565
0.0690646,0.287168,0.612363,0.923913
1.7453,1.03273,0.772609,1.09475
0.00895505,0.0570562,1.06433,0.985114
2.45569,1.92962,1.13694,1.04619
1.97865,1.44704,0.707951,1.11083
0.573667,1.65317,1.2787,0.987744
2.94348,1.8747,0.902864,1.10862
0.634485,1.65462,1.31853,1.17199
1.44875,1.49883,0.741113,0.957309
0.679021,0.813081,0.945102,0.845346
0.400406,1.95532,1.33082,0.9588
2.1304,1.14331,1.19449,1.10521
0.351926,0.230826,0.768813,0.942047
0.133655,0.41786,1.67149,0.959745
0.970462,0.50891,1.25807,0.87578
0.131834,0.0829013,1.20558,1.06354
0.773545,0.715931,0.915492,0.91955
1.85465,0.956278,0.857103,0.967979
4.47496,3.66606,1.28012,1.13824
2.19374,1.40176,1.32339,0.832539
0.315104,0.56203,0.731694,1.02379
0.0861964,1.35288,1.07747,1.03356
1.16167,0.728505,0.836459,1.05091
0.05628,0.257808,1.0534,0.98622
0.246831,0.215129,1.03384,1.17436
5.79466,3.3523,1.81889,0.964718
1.95019,1.6652,0.740265,1.08844
0.31729,0.25096,0.569057,1.06562
0.165485,0.184452,0.884745,1.06539
0.445673,0.769082,0.46081,1.06916
1.28313,0.798089,1.1649,1.05804
1.43185,0.919163,0.706056,1.09233
0.0459173,0.720452,0.630501,1.14988
2.46061,1.47361,1.57515,0.966289
1.04738,1.29796,0.705523,0.902665
2.70252,1.85425,1.37327,1.0813
0.033416,0.651773,0.745522,1.10751
0.0362192,0.382303,0.920527,1.14362
0.0610927,2.09457,1.00458,0.976942
2.57797,1.96027,1.23035,1.01745
0.509346,0.486971,1.09839,0.96234
0.0422067,0.029537,1.74886,1.12611
1.09575,0.733392,1.20788,1.13861
1.06394,0.896495,0.992015,0.931423
0.360622,0.279532,0.517177,0.90328
0.0209311,0.527236,1.01936,1.06582
0.00516739,1.62922,1.42904,0.945318
0.712133,1.27884,0.961464,0.940072
0.665616,0.985944,0.708048,0.960177
0.729136,0.382928,0.823191,1.00587
1.38267,1.27051,1.26863,0.998056
0.272403,0.241149,0.779109,1.00433
1.1495,0.934313,0.954844,0.832769
2.63775,1.49249,0.970426,0.771737
1.45919,1.71221,0.940759,1.05002
0.209135,1.07326,1.12009,1.01601
3.17448,2.32739,0.956802,0.928825
3.28353,2.16068,1.07849,1.02166
0.549136,0.98644,0.735407,0.89756
0.61302,0.35059,1.30207,0.925619
1.19649,0.62932,0.678177,1.00138
0.0183723,0.148256,1.42451,0.92032
0.0697714,0.341976,0.71676,0.932783
0.0842907,1.23704,0.984734,1.08473
0.666607,0.945315,1.5518,1.03664
1.74742,1.36872,0.625597,0.799395
0.260264,0.299597,0.482155,1.05008
1.83081,0.925649,0.757589,1.05989
0.893404,1.45398,1.17024,1.10006
0.233362,1.64864,1.00671,1.04376
0.598061,0.454344,0.826861,0.900908
1.68024,1.15455,0.826225,0.964916
0.323804,0.369541,1.07387,0.971042
0.373552,0.513082,1.10435,0.705431
0.308257,0.470832,0.517718,0.833538
0.295244,0.470972,1.02792,0.974945
1.17419,1.44325,1.26879,1.12759
0.172823,0.368596,1.10155,0.948504
0.34544,0.802269,0.682324,0.951929
2.36801,1.31012,0.80122,1.02812
0.753939,1.12116,0.89417,1.02241
2.05788,1.72251,1.27383,0.972892
2.40164,1.60631,0.895046,1.01321
0.421438,1.10669,1.04614,1.16373
0.248933,0.618193,0.426766,0.987948
0.55553,1.09039,0.866518,0.855707
0.696972,1.76916,1.01669,1.12324
0.637914,0.607305,0.524464,0.945346
1.88769,1.2161,1.49554,1.08064
0.315991,0.621146,0.589691,0.960487
1.37203,1.08369,1.4852,0.933099
1.36563,1.11162,1.06349,1.0571
0.795405,0.898925,0.803012,1.12606
1.16075,1.03883,1.46247,0.959984
2.49214,1.32671,1.17305,1.02978
0.272734,0.830865,0.814996,1.03368
0.894913,0.666115,0.904954,0.925717
0.244335,0.556106,0.528704,0.884925
1.1606,2.69038,1.10924,1.07002
0.173223,0.388127,0.413985,0.880096
2.22764,1.42411,1.00263,0.848641
0.030819,0.718709,0.698956,1.09015
0.5059,0.669168,1.0159,1.15855
2.26677,1.42516,1.07966,0.978469
0.182233,0.0982157,0.680382,0.933649
0.841413,0.844341,1.22593,1.03963
0.330293,0.990095,0.919355,0.896266
0.256352,0.588445,1.59275,0.881009
0.615569,0.665007,0.61707,0.851504
0.39409,0.381061,0.768661,0.889562
0.938238,2.35036,1.13474,1.14498
1.41133,0.796893,0.646876,0.914543
0.324116,0.288665,0.985217,0.990651
0.117822,0.0644618,0.849912,0.980499
0.263543,0.324391,0.473319,1.04147
0.251872,0.625257,1.57366,1.02449
0.0422992,0.173491,0.949492,0.881666
1.06409,1.40421,0.615685,0.882299
0.715375,1.323,0.926167,1.00793
1.33341,0.742581,1.02014,1.0311
0.112283,0.465411,0.73697,1.01848
2.2742,1.29534,1.33438,1.07412
0.100162,0.17877,0.738691,1.03052
0.870692,0.98774,1.34453,0.865289
0.0464785,0.323088,1.0336,1.10338
1.70865,1.22985,0.957063,0.950299
0.759518,0.412799,1.13129,1.09672
1.09642,1.33415,1.249,0.984688
0.604311,0.326473,1.22729,1.04019
0.180976,0.249689,0.979709,0.911952
0.206107,0.830822,1.03287,0.983379
0.261543,0.35526,0.623746,0.809997
3.81026,1.92992,0.935638,1.01192
2.43546,1.28866,1.589,1.16738
0.584999,0.378336,1.05074,1.06594
2.39169,2.22763,1.44308,1.01919
1.66504,0.947161,0.828995,0.982138
1.74815,1.05552,1.79471,1.04132
1.11232,1.82509,0.961981,0.997842
1.39329,1.64097,1.09243,0.977671
0.460896,0.281311,0.753763,0.951101
3.52406,2.01621,1.67981,1.04636
2.59809,1.4507,1.14075,0.846973
0.367577,0.198984,0.929651,0.986938
0.489137,0.505554,0.395683,0.957317
0.722425,0.38952,0.520629,0.980645
1.97192,1.61522,0.783625,1.00387
0.451574,0.803201,0.731563,0.952399
0.157777,0.311927,1.00328,0.968138
1.15239,0.827287,1.24026,1.18987
1.81875,1.29759,0.547529,0.769301
0.599796,1.21324,0.646827,0.92979
0.0794752,0.492901,1.26077,0.934554
0.248923,1.09157,1.13434,1.07898
1.19172,1.06413,1.15907,1.02709
1.26194,1.28752,0.677867,0.929846
0.591698,1.38834,0.823918,0.95246
0.206728,0.419328,0.884627,1.05243
0.18837,0.237819,0.939545,0.995536
0.296708,0.326034,0.83705,0.939033
0.469267,0.433317,1.29352,0.7606
0.658869,0.399748,0.609471,0.907995
0.564656,1.83702,0.794356,0.78577
0.732353,0.367743,0.944294,1.07276
2.15794,1.20674,1.44247,1.15362
2.42186,2.53961,1.01053,1.14828
1.23384,0.856043,0.896456,1.14633
2.10149,1.82296,0.743583,0.810025
0.269585,0.215416,1.03207,1.00694
0.170103,0.119573,0.796975,0.77584
0.712923,0.784782,0.775653,1.07568
3.61488,2.13722,1.01058,1.01226
0.293613,0.774825,0.741433,0.841571
0.727151,0.659807,0.811731,0.966468
0.461747,1.28419,0.699104,0.87798
2.63753,1.63796,1.18092,0.876679
2.13451,1.25483,1.38015,0.854437
1.39053,1.02262,0.932851,0.875596
1.01405,0.752831,0.414697,0.996097
0.0387682,1.11956,1.21358,0.974827
1.15857,0.868394,0.557299,0.898699
2.17188,1.16768,0.626763,1.07409
0.300694,0.459075,0.881093,1.11872
0.0313482,0.124736,1.18002,0.912881
0.789662,1.2879,1.07355,1.01652
0.410775,1.41145,1.1598,0.888307
0.0512842,0.104925,0.500421,0.901069
0.71709,0.62266,0.503215,0.832253
0.276035,0.178543,0.660453,0.918333
0.215016,0.407668,0.652224,0.897885
0.524954,0.267562,0.777288,0.926775
1.14206,1.3973,1.29573,1.10522
0.192846,1.10542,1.54575,1.09546
0.0236311,1.2228,1.05007,0.941059
3.7986,2.04331,0.967694,1.02787
2.69019,1.5983,0.913901,1.01971
3.15705,2.02568,1.61693,1.06861
0.0436288,0.438456,0.640405,1.0247
0.231579,0.525871,1.2645,1.02049
0.571168,1.97709,0.893218,1.03121
0.0702717,0.330862,0.309493,1.04822
0.0073394,0.416432,1.12468,1.19707
0.358988,0.701715,0.693496,0.92214
0.354445,0.186467,1.19948,1.00392
0.410417,0.867285,1.10409,1.14791
1.12419,1.26403,0.777381,1.00022
0.770638,1.37378,0.689098,0.846496
0.542083,0.520332,1.17691,0.892533
0.615203,0.685013,0.721018,1.10482
0.212285,0.208144,0.970649,0.886087
0.526551,1.13549,1.54433,1.02421
0.952975,1.51032,0.894141,1.01627
0.326807,0.426759,0.67906,0.883329
0.285538,0.302671,1.14313,0.9848
0.919313,0.850593,0.875235,1.06192
0.163656,0.539349,1.33459,0.994458
0.0575222,0.285703,0.957564,0.984834
0.465638,0.392538,0.501195,0.856391
0.278449,1.1831,1.2576,1.03716
0.288315,0.567905,0.495112,0.974959
0.61864,1.28158,1.45111,0.834605
0.205329,0.119391,0.766012,0.796805
0.579471,1.22142,0.930782,0.925248
1.19062,0.630169,0.97827,0.978637
0.711963,0.614117,0.815438,0.86659
0.000981199,0.506396,1.33848,0.99224
0.785751,0.937059,0.817864,1.12543
0.135544,0.222537,0.555641,1.00237
0.17865,0.653634,1.06989,1.06736
0.902207,2.14834,1.30695,1.04899
0.164522,1.6196,0.870538,1.03499
0.137046,1.16516,0.773087,1.0401
1.83613,4.39493,1.6213,0.999309
0.715609,1.04292,1.22327,0.965663
0.347528,0.20637,0.720153,0.887255
1.25987,0.714046,1.30678,0.931909
0.769372,0.969082,0.94532,0.941255
1.41121,0.767192,0.947972,0.891236
1.63602,2.02264,0.624204,0.919242
0.38791,1.21534,1.20362,0.99364
1.6432,0.921537,1.10271,1.11144
0.247282,0.303059,0.793501,1.07366
0.424525,0.388098,0.805473,0.923139
2.02982,2.39632,1.30006,1.08702
0.383597,0.693619,1.22104,1.05612
1.16064,0.855049,0.356421,0.795537
0.0473485,0.0815853,0.779586,0.869116
0.0607721,0.0830905,0.688505,0.865441
0.240163,0.236622,0.820076,0.94944
1.58045,0.791805,0.497825,0.7241
0.302027,0.362939,0.92646,0.913
0.604426,0.435469,0.553702,0.886923
5.22898,3.21118,1.74358,1.18486
1.45151,0.857916,0.819519,0.955989
0.512489,0.500684,2.09799,1.16957
0.616886,2.05425,0.82137,0.804732
0.191398,0.663881,1.06706,1.1738
0.35461,0.560962,0.628481,0.952704
0.396771,0.503306,0.677013,0.962579
1.74628,2.63563,1.1611,1.22582
0.516371,1.33735,1.42804,1.10416
0.5759,0.642926,0.88873,0.995961
0.321097,0.742405,1.06417,1.02177
1.31858,1.20159,0.894639,1.00022
0.374386,1.65344,0.995489,0.988638
1.60197,1.5233,1.25218,1.20346
1.54803,1.42737,0.496916,0.914119
0.114162,0.68617,0.761519,0.987142
1.54799,0.900279,1.18209,1.03107
4.05532,2.73928,1.13441,0.940321
1.03521,0.714237,1.22311,0.939085
0.272256,0.188132,1.26839,0.923827
2.41457,2.20065,0.704262,0.980971
0.787054,0.468708,0.639555,1.06834
0.285886,0.92575,0.972762,1.03324
0.353358,2.32083,1.57987,0.977057
0.342473,0.978866,1.11549,0.985209
0.441449,0.780494,0.887994,0.864505
0.599197,1.16215,0.698984,0.971944
2.18312,1.30541,1.14357,1.15559
0.00525723,0.991549,1.04841,0.973086
1.28876,0.834707,0.822777,1.08807
0.355522,0.58566,1.16055,1.01391
0.211923,0.461909,0.883974,0.901273
2.2726,1.65275,0.797318,0.968812
0.110955,0.372413,0.774573,1.03948
1.1309,0.77253,0.688387,0.981836
1.86645,1.27302,1.14077,1.00716
0.553461,0.514689,0.565822,0.942154
1.522,2.74518,1.27493,0.966874
0.375193,0.229473,0.738445,0.712914
0.137121,0.365449,1.07466,0.894248
1.73296,1.14467,0.991074,0.906697
0.417595,1.72153,0.793609,0.982579
0.144657,0.660202,0.710352,1.13284
0.833493,2.07253,1.45051,0.966407
1.49684,1.21388,1.15786,0.980705
0.372315,1.28781,1.06137,1.0276
0.601328,0.625362,0.823907,0.967823
0.819999,0.850403,0.835001,0.874185
0.423942,0.222698,1.17894,1.12994
1.62012,0.974884,0.620933,1.05644
2.71217,2.82449,2.47401,1.10057
0.1495,0.271135,1.27213,1.11254
0.465407,0.668551,1.22739,1.17623
0.728958,0.42771,0.664386,0.94311
2.00037,2.54536,1.46398,1.08799
0.565246,0.603753,1.28883,1.17037
0.0832655,1.10316,0.929382,1.07822
3.43226,2.02029,1.18019,0.886979
1.06464,1.00842,1.36826,0.982142
3.3773,2.06745,1.02073,1.06433
0.115518,0.5401,0.836243,0.981092
0.29031,0.519329,0.838667,0.828906
0.0816641,1.22562,1.33931,0.998889
0.500447,0.637179,1.33623,1.05889
1.21959,0.758521,1.48241,1.07397
0.294865,0.496745,1.38878,1.15779
0.243953,0.388984,0.990861,1.04574
1.3767,1.1967,0.681796,1.07641
0.337626,0.202886,0.533955,0.822006
0.944669,0.748928,1.3961,1.01825
0.884984,0.500781,0.792345,1.07741
1.73475,0.94821,0.652011,1.05423
0.137793,0.220412,0.659594,0.765048
0.331842,0.404038,0.998994,0.859975
0.56506,0.790157,0.762546,0.993215
1.5983,2.67114,1.27105,1.06164
0.46698,0.494087,0.666951,0.879761
0.119606,0.367762,1.39312,0.942389
1.01096,3.94984,1.38318,1.07042
1.12531,1.08284,1.04819,1.12171
0.111149,0.748006,0.922629,1.04909
0.22219,0.550928,1.47234,1.05134
0.311843,0.204665,0.599259,0.883293
1.12333,1.3323,1.22345,0.940329
1.26552,1.2227,1.08638,0.813408
0.575904,0.903867,0.738936,0.944954
0.222146,0.124566,0.771019,0.956828
0.159061,0.283346,0.788243,0.957084
0.342789,0.199127,0.458533,1.01953
0.0978191,0.385752,0.763334,0.931892
1.59395,1.29639,1.07451,1.00389
0.144272,0.259512,0.564844,0.909086
0.231995,0.307358,0.929613,1.21329
1.36714,2.6564,1.28668,0.910344
0.167548,0.144298,0.888953,0.916322
0.182777,0.373254,0.720556,0.858707
1.37511,1.08114,0.919845,0.930846
0.620543,0.538179,0.38141,1.05991
1.84299,1.07747,0.731734,0.936808
0.514087,0.483279,1.19681,0.94883
2.00627,1.0676,0.818264,0.850599
0.810123,0.610882,0.805498,0.877395
1.05574,0.62954,0.682478,1.01017
1.21414,2.51701,1.39919,0.973147
2.2666,1.14891,1.33041,0.977409
1.42651,0.785053,1.22775,1.01873
0.383814,1.24892,0.734268,0.981042
1.45337,0.924877,0.883964,1.13485
0.518051,1.14183,0.623821,1.05067
0.228542,0.958238,0.818981,1.05284
1.14285,1.33157,1.45985,1.0067
2.20562,1.73538,1.34355,1.07144
2.40241,3.68637,1.28023,0.968432
0.00848849,0.862443,0.963792,0.956681
0.322268,0.502379,0.921254,0.931178
0.677577,0.860224,0.552731,1.08691
1.24846,1.52803,1.12736,0.814189
2.03762,1.24494,1.18056,1.09339
1.75816,1.63322,0.98428,1.06837
3.81328,3.1965,1.06984,1.07925
0.799199,0.935648,1.10249,1.04777
0.664285,0.980686,1.02493,0.95616
0.97516,0.580085,0.840851,1.07311
0.05646,0.75722,0.693395,0.869148
0.353296,0.367375,0.531162,0.908333
0.179376,2.8239,1.19401,1.14705
0.262915,0.223731,0.625004,0.943429
0.108113,0.164855,0.797557,0.776654
0.615515,1.46964,0.861203,1.0779
0.649056,0.507702,0.677797,0.92807
0.828817,0.706363,0.684665,0.810552
1.18324,0.965486,1.0422,1.04617
1.08899,1.11204,1.39312,1.13896
0.35957,0.257834,0.762219,1.00671
1.32853,2.0787,1.2607,0.992081
2.05844,1.1574,0.882009,0.836257
2.17481,4.26435,1.64461,0.971642
0.112961,0.763627,0.572551,1.02072
1.25439,0.871387,0.99761,0.863343
0.337364,0.181032,0.997022,1.08344
1.03219,0.726669,1.27639,1.12729
1.79558,1.03183,1.42863,0.977344
0.264922,0.156811,0.9517,1.07739
1.51266,1.0939,0.797049,0.970783
1.99143,1.10227,1.35916,1.15227
0.256769,0.318939,0.728453,1.07411
2.63128,1.45017,1.18808,1.14501
0.784494,1.80717,1.12836,0.955188
1.11948,1.59917,0.796344,0.881076
3.0717,1.84913,2.10072,1.10578
0.233806,0.416926,0.831357,1.03726
0.561479,1.8343,0.942471,0.901167
1.76916,0.947075,0.728349,0.792978
0.488604,0.409544,0.936494,1.05386
1.6197,1.27605,0.609296,1.01162
0.743424,0.565105,0.825808,0.93123
0.00842399,0.286933,1.23122,1.04819
0.467993,1.03511,1.06713,1.00274
0.643837,0.47364,0.719562,0.928446
0.892951,1.04447,0.999458,0.982054
1.18793,0.619042,1.00516,1.09072
2.04557,1.66421,0.805963,0.920629
2.23083,1.29223,0.875408,0.826085
0.637122,1.16653,1.39572,1.03631
2.19797,1.51546,1.09179,1.11509
1.48062,0.830387,1.51096,0.992855
0.109369,1.63236,1.07655,0.872412
0.066505,0.391994,1.0563,0.970017
0.439012,2.37439,1.18771,0.931843
1.62434,2.10236,1.3862,0.958285
0.959227,1.05631,1.35243,0.94246
3.34677,1.92433,1.30417,1.00563
1.05189,0.738583,0.832251,1.01216
1.66472,1.88104,1.49785,0.926806
0.808103,0.993766,1.16436,1.01604
0.473558,0.553206,1.06679,1.14347
1.04009,0.953857,1.21677,1.0282
0.392525,0.568339,1.17889,1.01287
1.92044,1.54543,0.857101,1.03414
0.51299,0.603473,0.750504,1.0203
1.50869,1.65065,1.52924,1.01541
1.26968,0.782199,0.444857,0.981027
5.4347,3.30489,1.78211,1.03021
0.343563,0.45844,0.847015,0.902133
1.38489,1.78229,0.911258,1.05358
1.84413,1.15666,0.65297,1.16458
0.271573,0.350092,0.997855,0.92679
1.54933,1.35339,0.959691,1.02066
2.39037,2.22604,0.940151,0.991864
0.607578,0.613164,1.23778,1.1119
1.73698,1.51642,0.879397,1.0804
0.14303,0.48468,0.972202,1.01999
0.0381874,1.72989,1.52471,0.997829
0.420085,0.262939,1.49732,1.10967
0.165358,1.62341,1.21621,1.03715
1.9533,1.5726,1.53369,0.953993
1.47137,0.870624,0.930598,1.03299
0.566525,0.679866,0.858111,1.02981
0.472029,0.814085,0.856825,0.805745
3.02498,2.14596,0.757728,0.859785
0.459542,0.418698,0.673324,0.892754
1.54683,1.01598,0.739134,0.924138
0.532359,1.04963,1.17591,1.06981
0.717135,0.36916,1.47127,0.961613
0.0857742,0.0936407,1.12966,1.08104
1.69764,1.47346,1.24675,1.04357
1.8253,1.03762,0.600194,1.03617
0.65843,1.49661,1.01426,1.13627
1.74275,0.93645,0.746846,0.959938
0.824825,1.92192,1.06957,0.957524
1.04612,0.827684,0.739424,1.09806
0.841335,1.57545,0.804267,0.921687
0.484687,1.13871,0.971792,1.09978
0.505027,0.995719,0.838397,1.09241
0.43221,0.552647,0.786818,0.960869
2.91325,1.92564,0.970083,0.926507
2.27739,1.38161,1.07413,0.921397
0.0119169,0.161493,0.46385,0.994508
0.479047,0.955648,1.02325,0.996209
1.88692,1.7479,1.75856,1.15867
1.71916,0.960417,1.13826,1.10616
0.0201628,0.927153,1.12504,1.02071
0.362407,1.9973,1.22417,0.984569
1.06874,0.612765,0.891764,0.998955
0.120389,0.973309,1.11084,0.926374
0.0396298,1.53469,0.842945,0.982188
1.56772,0.911978,0.891086,0.964869
0.836034,0.623977,1.15554,1.07232
2.02597,1.64058,1.31613,1.1975
0.930011,0.582784,0.700201,0.95241
1.80858,1.15103,1.0061,0.882625
0.612756,1.62973,1.59061,1.00961
0.118901,0.724528,1.05591,1.05272
1.46779,1.86556,0.895321,0.878139
0.215385,0.191875,0.689986,1.01098
0.0554255,0.597807,1.04069,0.926195
0.00552503,0.534436,0.676239,0.937065
1.2738,0.952167,0.870467,1.05061
0.737504,0.946906,1.28548,1.03773
3.6941,2.50335,2.07,1.23823
0.179385,0.38939,0.809905,1.22934
0.350893,0.22659,0.711998,0.883431
0.213186,0.284779,0.453044,1.12598
1.58175,1.04198,0.710149,1.00385
0.405242,0.219092,0.936521,0.993701
1.31054,1.45723,1.11021,0.831816
0.296545,0.212187,0.91649,1.05056
1.16212,1.6559,1.45252,0.908588
0.147522,1.42287,0.970588,0.986599
0.663454,0.443473,0.803686,0.937428
0.777344,0.4463,0.925385,0.888089
1.53131,1.48657,1.24468,0.999649
0.145217,0.168366,0.885161,0.977628
0.735081,0.726466,1.16503,0.92963
0.413373,0.488211,1.00707,0.936551
1.73048,1.16658,1.3033,0.853192
2.35859,3.20274,1.55572,1.10892
1.95658,1.67523,1.26171,1.03174
1.19036,1.00784,0.968185,0.998154
0.234046,0.526321,0.995591,1.08206
0.489891,0.619607,0.628029,0.983963
1.53618,1.51213,1.18061,0.971073
1.35795,0.723469,0.593098,1.02218
0.0763691,0.267303,1.8036,1.1156
0.231313,0.349612,0.834954,0.993016
0.787291,0.484061,1.07863,0.825334
0.0689481,0.481354,0.872476,0.998312
0.590692,0.459924,1.02474,0.975263
0.236666,0.976384,1.24642,1.11785
2.17907,1.49389,0.76164,0.962987
0.899077,0.935836,0.737648,0.970651
0.137417,0.428152,1.91688,1.23427
2.84303,2.23965,1.16075,1.18882
0.353843,0.429488,1.42772,1.23432
3.11113,1.60096,1.44913,1.23062
0.482319,1.19409,0.915632,0.939344
0.315581,0.569017,0.514662,0.871216
0.344179,0.934448,0.482709,0.949009
1.75973,0.918041,1.25954,1.18777
